Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.;1788 - Monetary base - Monetary base (end-of-period balance) - c.m.u. (thousand)
08/1966;-;4,013,400,000
09/1966;-;4,150,000,000
10/1966;-;4,197,300,000
11/1966;-;4,346,100,000
12/1966;-;4,761,100,000
01/1967;-;4,630,500,000
02/1967;-;4,844,600
03/1967;-;5,145,000
04/1967;-;4,979,100
05/1967;-;5,066,000
06/1967;-;5,188,500
07/1967;-;5,281,600
08/1967;-;5,246,000
09/1967;-;5,550,300
10/1967;-;5,511,800
11/1967;-;5,756,300
12/1967;-;6,095,400
01/1968;-;6,167,900
02/1968;-;6,311,300
03/1968;-;6,674,500
04/1968;-;6,787,200
05/1968;-;6,856,100
06/1968;-;7,139,200
07/1968;-;7,012,800
08/1968;-;7,019,200
09/1968;-;7,146,800
10/1968;-;7,112,600
11/1968;-;7,614,700
12/1968;-;8,619,100
01/1969;-;7,935,800
02/1969;-;8,260,100
03/1969;-;8,188,900
04/1969;-;8,371,200
05/1969;-;8,490,600
06/1969;-;8,455,000
07/1969;-;8,370,100
08/1969;-;8,400,000
09/1969;-;8,436,200
10/1969;-;8,850,300
11/1969;-;9,200,600
12/1969;-;10,639,200
01/1970;-;9,866,000
02/1970;-;9,773,000
03/1970;-;9,471,000
04/1970;-;9,594,000
05/1970;-;9,927,000
06/1970;-;10,391,000
07/1970;-;10,275,000
08/1970;-;10,235,000
09/1970;-;10,190,000
10/1970;-;10,646,000
11/1970;-;10,889,000
12/1970;-;12,361,000
01/1971;-;11,641,000
02/1971;-;11,698,000
03/1971;-;11,335,000
04/1971;-;11,955,000
05/1971;-;12,412,000
06/1971;-;12,990,000
07/1971;-;12,774,000
08/1971;-;13,146,000
09/1971;-;13,191,000
10/1971;-;13,493,000
11/1971;-;14,683,000
12/1971;-;16,603,000
01/1972;-;15,989,000
02/1972;-;15,725,000
03/1972;-;15,730,000
04/1972;-;16,341,000
05/1972;-;17,372,000
06/1972;-;17,624,000
07/1972;-;17,908,000
08/1972;-;15,058,000
09/1972;-;15,634,000
10/1972;-;16,142,000
11/1972;-;16,656,000
12/1972;-;20,023,000
01/1973;-;19,715,000
02/1973;-;19,517,000
03/1973;-;19,739,000
04/1973;-;20,952,000
05/1973;-;21,844,000
06/1973;-;23,871,000
07/1973;-;23,912,000
08/1973;-;22,413,000
09/1973;-;23,109,000
10/1973;-;24,411,000
11/1973;-;24,863,000
12/1973;-;28,217,000
01/1974;-;27,449,000
02/1974;-;28,105,000
03/1974;-;27,289,000
04/1974;-;28,309,000
05/1974;-;28,294,000
06/1974;-;29,326,000
07/1974;-;28,863,000
08/1974;-;28,061,000
09/1974;-;28,295,000
10/1974;-;27,730,000
11/1974;-;30,450,000
12/1974;-;36,908,000
01/1975;-;31,713,000
02/1975;-;30,528,000
03/1975;-;32,168,000
04/1975;-;32,128,000
05/1975;-;32,033,000
06/1975;-;34,659,000
07/1975;-;35,720,000
08/1975;-;35,810,000
09/1975;-;36,910,000
10/1975;-;37,812,000
11/1975;-;40,937,000
12/1975;-;49,955,000
01/1976;-;46,858,000
02/1976;-;44,990,000
03/1976;-;44,205,000
04/1976;-;45,428,000
05/1976;-;46,600,000
06/1976;-;51,317,000
07/1976;-;55,473,000
08/1976;-;58,204,000
09/1976;-;59,879,000
10/1976;-;62,051,000
11/1976;-;67,853,000
12/1976;-;79,484,000
01/1977;-;83,988,000
02/1977;-;80,921,000
03/1977;-;79,046,000
04/1977;-;83,700,000
05/1977;-;87,705,000
06/1977;-;93,623,000
07/1977;-;100,395,000
08/1977;-;100,359,000
09/1977;-;102,093,000
10/1977;-;106,718,000
11/1977;-;113,588,000
12/1977;-;129,843,000
01/1978;-;128,034,000
02/1978;-;123,408,000
03/1978;-;122,218,000
04/1978;-;130,819,000
05/1978;-;133,935,000
06/1978;-;137,938,000
07/1978;-;147,439,000
08/1978;-;152,822,000
09/1978;-;159,218,000
10/1978;-;168,387,000
11/1978;-;175,019,000
12/1978;-;193,669,000
01/1979;-;196,694,000
02/1979;-;202,309,000
03/1979;-;199,266,000
04/1979;-;202,374,000
05/1979;-;207,102,000
06/1979;-;215,106,000
07/1979;-;229,711,000
08/1979;-;237,372,000
09/1979;-;251,087,000
10/1979;-;268,243,000
11/1979;-;292,706,000
12/1979;-;366,247,000
01/1980;6.62 ;339,824,000
02/1980;4.62 ;323,939,000
03/1980;6.04 ;337,933,000
04/1980;5.29 ;364,959,000
05/1980;5.70 ;372,738,000
06/1980;5.31 ;416,236,000
07/1980;5.55 ;439,890,000
08/1980;4.95 ;446,615,000
09/1980;4.23 ;459,175,000
10/1980;9.48 ;468,517,000
11/1980;6.67 ;512,562,000
12/1980;6.61 ;580,353,000
01/1981;6.84 ;580,291,000
02/1981;6.40 ;574,021,000
03/1981;4.97 ;573,731,000
04/1981;6.46 ;565,801,000
05/1981;5.56 ;597,848,000
06/1981;5.52 ;646,193,000
07/1981;6.26 ;689,100,000
08/1981;5.50 ;714,335,000
09/1981;5.26 ;739,984,000
10/1981;5.08 ;767,684,000
11/1981;5.27 ;862,272,000
12/1981;5.93 ;970,535,000
01/1982;6.97 ;1,070,000,000
02/1982;6.64 ;1,035,000,000
03/1982;5.71 ;1,089,000,000
04/1982;5.89 ;1,050,000,000
05/1982;6.66 ;1,121,000,000
06/1982;7.10 ;1,220,000,000
07/1982;6.36 ;1,298,000,000
08/1982;5.97 ;1,334,000,000
09/1982;5.08 ;1,356,000,000
10/1982;4.44 ;1,461,000,000
11/1982;5.29 ;1,706,000,000
12/1982;7.81 ;1,944,000,000
01/1983;8.64 ;2,059,000,000
02/1983;7.86 ;2,163,000,000
03/1983;7.34 ;2,072,000,000
04/1983;6.58 ;2,174,000,000
05/1983;6.48 ;2,292,000,000
06/1983;9.88 ;2,361,000,000
07/1983;10.08 ;2,662,000,000
08/1983;9.11 ;2,350,000,000
09/1983;10.30 ;2,669,000,000
10/1983;8.87 ;2,821,000,000
11/1983;7.38 ;3,189,000,000
12/1983;8.68 ;3,495,000,000
01/1984;9.67 ;3,784,000,000
02/1984;9.50 ;3,744,000,000
03/1984;8.94 ;3,539,000,000
04/1984;9.54 ;4,179,000,000
05/1984;9.05 ;4,435,000,000
06/1984;10.08 ;5,782,000,000
07/1984;9.72 ;6,391,000,000
08/1984;9.35 ;7,015,000,000
09/1984;11.75 ;7,743,000,000
10/1984;10.44 ;8,229,000,000
11/1984;10.53 ;9,427,000,000
12/1984;11.98 ;12,725,000,000
01/1985;11.76 ;13,269,000,000
02/1985;10.87 ;15,069,000,000
03/1985;10.16 ;14,427,000,000
04/1985;8.20 ;14,602,000,000
05/1985;7.20 ;16,532,000,000
06/1985;8.49 ;17,829,000,000
07/1985;10.31 ;19,626,000,000
08/1985;12.05 ;22,377,000,000
09/1985;11.12 ;25,763,000,000
10/1985;10.62 ;26,817,000,000
11/1985;13.97 ;32,106,000,000
12/1985;15.07 ;45,468,000,000
01/1986;14.37 ;45,941,000,000
02/1986;12.72 ;51,535,000,000
03/1986;4.77 ;70,029,000
04/1986;0.78 ;94,782,000
05/1986;1.40 ;109,024,000
06/1986;1.27 ;120,553,000
07/1986;1.71 ;137,558,000
08/1986;3.55 ;145,798,000
09/1986;1.72 ;149,852,000
10/1986;1.90 ;157,605,000
11/1986;5.45 ;172,456,000
12/1986;11.65 ;178,895,000
01/1987;13.21 ;172,444,000
02/1987;12.64 ;164,309,000
03/1987;16.37 ;169,213,000
04/1987;19.10 ;187,023,000
05/1987;21.45 ;184,563,000
06/1987;19.71 ;170,057,000
07/1987;9.21 ;219,014,000
08/1987;4.87 ;271,299,000
09/1987;7.78 ;324,931,000
10/1987;11.22 ;373,186,000
11/1987;15.08 ;389,235,000
12/1987;14.15 ;503,531,000
01/1988;18.89 ;505,379,000
02/1988;15.70 ;469,509,000
03/1988;17.60 ;675,373,000
04/1988;19.29 ;726,125,000
05/1988;17.42 ;837,455,000
06/1988;22.00 ;911,031,000
07/1988;21.91 ;1,003,891,000
08/1988;21.59 ;1,083,191,000
09/1988;27.45 ;1,426,396,000
10/1988;25.62 ;1,850,104,000
11/1988;27.94 ;2,197,172,000
12/1988;28.70 ;3,637,152,000
01/1989;37.49 ;4,117,000
02/1989;16.78 ;4,925,000
03/1989;6.82 ;5,773,000
04/1989;8.33 ;6,549,000
05/1989;17.92 ;8,748,000
06/1989;28.65 ;10,138,000
07/1989;27.74 ;11,020,000
08/1989;33.71 ;13,027,000
09/1989;37.56 ;17,238,000
10/1989;39.77 ;22,317,000
11/1989;47.82 ;36,116,000
12/1989;51.50 ;67,436,000
01/1990;67.55 ;80,300,000
02/1990;75.73 ;140,004,000
03/1990;82.39 ;342,362,000
04/1990;15.52 ;582,095,000
05/1990;7.59 ;921,528,000
06/1990;11.75 ;836,766,000
07/1990;12.92 ;761,582,000
08/1990;12.88 ;781,612,000
09/1990;14.41 ;921,385,000
10/1990;14.36 ;919,840,000
11/1990;16.81 ;1,026,263,000
12/1990;18.44 ;1,621,271,000
01/1991;20.75 ;1,309,126,000
02/1991;20.72 ;1,812,081,000
03/1991;11.92 ;2,023,811,000
04/1991;4.99 ;2,027,009,000
05/1991;7.43 ;2,249,493,000
06/1991;11.19 ;2,474,855,000
07/1991;12.41 ;2,571,339,000
08/1991;15.63 ;2,812,154,000
09/1991;15.63 ;3,209,976,000
10/1991;20.23 ;3,478,608,000
11/1991;25.21 ;4,446,288,000
12/1991;23.71 ;6,342,169,000
01/1992;25.94 ;5,723,211,000
02/1992;24.32 ;8,145,480,000
03/1992;21.40 ;8,375,663,000
04/1992;19.93 ;11,041,319,000
05/1992;24.86 ;12,099,824,000
06/1992;20.21 ;13,900,962,000
07/1992;21.83 ;16,742,986,000
08/1992;22.14 ;20,404,046,000
09/1992;24.63 ;25,421,278,000
10/1992;25.24 ;32,047,929,000
11/1992;22.49 ;42,501,088,000
12/1992;25.24 ;69,210,235,000
01/1993;30.35 ;63,437,349,000
02/1993;24.98 ;77,070,830,000
03/1993;27.26 ;93,649,340,000
04/1993;27.75 ;117,291,220,000
05/1993;27.69 ;147,360,333,000
06/1993;30.07 ;175,947,517,000
07/1993;30.72 ;242,139,295,000
08/1993;32.96 ;303,609,972
09/1993;35.69 ;382,364,042
10/1993;33.92 ;559,484,940
11/1993;35.56 ;788,618,000
12/1993;36.84 ;1,421,004,971
01/1994;41.31 ;1,561,857,084
02/1994;40.27 ;2,128,576,967
03/1994;42.75 ;2,845,092,044
04/1994;42.68 ;4,296,644,996
05/1994;44.03 ;6,280,570,977
06/1994;47.43 ;8,737,628,286
07/1994;6.84 ;7,533,465
08/1994;1.86 ;9,414,282
09/1994;1.53 ;12,788,598
10/1994;2.62 ;12,999,423
11/1994;2.81 ;13,255,532
12/1994;1.71 ;17,684,551
01/1995;1.70 ;16,736,801
02/1995;1.02 ;15,821,058
03/1995;1.55 ;15,582,104
04/1995;2.43 ;13,827,961
05/1995;2.67 ;13,812,206
06/1995;2.26 ;13,943,397
07/1995;2.36 ;15,033,623
08/1995;0.99 ;15,613,676
09/1995;0.99 ;13,454,019
10/1995;1.41 ;15,352,196
11/1995;1.47 ;15,559,017
12/1995;1.56 ;21,681,591
01/1996;1.34 ;22,433,703
02/1996;1.03 ;17,007,151
03/1996;0.35 ;16,185,537
04/1996;1.26 ;15,001,636
05/1996;1.22 ;16,271,648
06/1996;1.19 ;16,806,685
07/1996;1.11 ;18,748,145
08/1996;0.44 ;15,686,504
09/1996;0.15 ;20,638,304
10/1996;0.30 ;15,564,832
11/1996;0.32 ;15,668,464
12/1996;0.47 ;19,795,697
01/1997;1.18 ;23,859,941
02/1997;0.50 ;20,285,377
03/1997;0.51 ;22,324,340
04/1997;0.88 ;27,291,306
05/1997;0.41 ;21,740,103
06/1997;0.54 ;24,688,145
07/1997;0.22 ;24,215,769
08/1997;-0.02 ;21,867,701
09/1997;0.06 ;24,700,091
10/1997;0.23 ;26,147,409
11/1997;0.17 ;22,972,423
12/1997;0.43 ;31,828,332
01/1998;0.71 ;30,564,327
02/1998;0.46 ;29,091,028
03/1998;0.34 ;29,985,079
04/1998;0.24 ;30,655,275
05/1998;0.50 ;31,099,191
06/1998;0.02 ;37,221,147
07/1998;-0.12 ;32,985,867
08/1998;-0.51 ;35,412,822
09/1998;-0.22 ;32,002,091
10/1998;0.02 ;32,826,436
11/1998;-0.12 ;39,737,748
12/1998;0.33 ;39,184,378
01/1999;0.70 ;39,635,374
02/1999;1.05 ;37,856,112
03/1999;1.10 ;37,232,284
04/1999;0.56 ;36,351,614
05/1999;0.30 ;40,434,992
06/1999;0.19 ;33,177,584
07/1999;1.09 ;41,162,443
08/1999;0.56 ;33,870,441
09/1999;0.31 ;35,970,589
10/1999;1.19 ;35,849,684
11/1999;0.95 ;37,337,401
12/1999;0.60 ;48,430,157
01/2000;0.62 ;41,892,638
02/2000;0.13 ;41,920,442
03/2000;0.22 ;39,093,507
04/2000;0.42 ;37,720,874
05/2000;0.01 ;35,875,831
06/2000;0.23 ;32,316,217
07/2000;1.61 ;36,452,164
08/2000;1.31 ;39,122,151
09/2000;0.23 ;37,521,173
10/2000;0.14 ;38,636,085
11/2000;0.32 ;40,730,882
12/2000;0.59 ;47,686,213
01/2001;0.57 ;42,363,820
02/2001;0.46 ;47,891,196
03/2001;0.38 ;41,367,748
04/2001;0.58 ;40,910,723
05/2001;0.41 ;41,452,767
06/2001;0.52 ;41,974,056
07/2001;1.33 ;41,594,145
08/2001;0.70 ;42,629,109
09/2001;0.28 ;45,482,012
10/2001;0.83 ;43,074,939
11/2001;0.71 ;46,234,267
12/2001;0.65 ;53,255,971
01/2002;0.52 ;49,722,831
02/2002;0.36 ;47,891,206
03/2002;0.60 ;48,854,685
04/2002;0.80 ;46,745,596
05/2002;0.21 ;51,513,188
06/2002;0.42 ;50,692,546
07/2002;1.19 ;52,432,527
08/2002;0.65 ;54,985,471
09/2002;0.72 ;60,769,701
10/2002;1.31 ;60,640,131
11/2002;3.02 ;60,558,939
12/2002;2.10 ;73,302,272
01/2003;2.25 ;64,370,257
02/2003;1.57 ;67,494,433
03/2003;1.23 ;66,032,455
04/2003;0.97 ;68,228,788
05/2003;0.61 ;65,113,594
06/2003;-0.15 ;63,837,941
07/2003;0.20 ;67,841,206
08/2003;0.34 ;58,430,020
09/2003;0.78 ;56,110,109
10/2003;0.29 ;57,710,438
11/2003;0.34 ;62,417,367
12/2003;0.52 ;73,219,136
01/2004;0.76 ;68,899,768
02/2004;0.61 ;68,868,993
03/2004;0.47 ;63,122,628
04/2004;0.37 ;65,612,983
05/2004;0.51 ;66,822,153
06/2004;0.71 ;67,992,270
07/2004;0.91 ;73,110,428
08/2004;0.69 ;72,201,284
09/2004;0.33 ;70,955,261
10/2004;0.44 ;71,672,482
11/2004;0.69 ;75,097,601
12/2004;0.86 ;88,732,677
01/2005;0.58 ;83,471,335
02/2005;0.59 ;79,115,881
03/2005;0.61 ;78,276,441
04/2005;0.87 ;77,791,974
05/2005;0.49 ;79,731,164
06/2005;-0.02 ;78,494,175
07/2005;0.25 ;80,283,576
08/2005;0.17 ;79,820,054
09/2005;0.35 ;80,105,571
10/2005;0.75 ;79,886,962
11/2005;0.55 ;85,515,270
12/2005;0.36 ;101,247,235
01/2006;0.59 ;92,843,062
02/2006;0.41 ;94,627,238
03/2006;0.43 ;88,735,299
04/2006;0.21 ;88,912,726
05/2006;0.10 ;86,158,927
06/2006;-0.21 ;94,634,877
07/2006;0.19 ;94,592,008
08/2006;0.05 ;99,860,904
09/2006;0.21 ;100,371,553
10/2006;0.33 ;99,861,933
11/2006;0.31 ;105,335,008
12/2006;0.48 ;121,102,001
01/2007;0.44 ;109,695,597
02/2007;0.44 ;105,136,740
03/2007;0.37 ;107,235,704
04/2007;0.25 ;114,406,238
05/2007;0.28 ;108,250,652
06/2007;0.28 ;115,604,131
07/2007;0.24 ;115,812,081
08/2007;0.47 ;114,488,378
09/2007;0.18 ;120,340,059
10/2007;0.30 ;122,966,586
11/2007;0.38 ;130,847,477
12/2007;0.74 ;146,616,867
01/2008;0.54 ;130,588,119
02/2008;0.49 ;126,329,185
03/2008;0.48 ;128,876,813
04/2008;0.55 ;124,683,915
05/2008;0.79 ;133,158,742
06/2008;0.74 ;132,793,112
07/2008;0.53 ;129,092,191
08/2008;0.28 ;132,071,158
09/2008;0.26 ;136,936,175
10/2008;0.45 ;132,774,206
11/2008;0.36 ;132,318,760
12/2008;0.28 ;147,549,705
01/2009;0.48 ;137,537,875
02/2009;0.55 ;136,267,906
03/2009;0.20 ;135,056,365
04/2009;0.48 ;144,762,552
05/2009;0.47 ;133,322,920
06/2009;0.36 ;139,185,835
07/2009;0.24 ;135,545,843
08/2009;0.15 ;137,018,961
09/2009;0.24 ;145,698,459
10/2009;0.28 ;147,453,941
11/2009;0.41 ;156,868,063
12/2009;0.37 ;166,072,835
01/2010;0.75 ;155,650,325
02/2010;0.78 ;154,334,418
03/2010;0.52 ;156,710,266
04/2010;0.57 ;154,627,326
05/2010;0.43 ;158,687,309
06/2010;0.00 ;159,627,969
07/2010;0.01 ;162,528,341
08/2010;0.04 ;173,242,650
09/2010;0.45 ;176,001,728
10/2010;0.75 ;177,434,730
11/2010;0.83 ;178,485,518
12/2010;0.63 ;206,853,322
01/2011;0.83 ;193,547,227
02/2011;0.80 ;185,606,930
03/2011;0.79 ;179,918,782
04/2011;0.77 ;172,725,439
05/2011;0.47 ;178,297,658
06/2011;0.15 ;190,510,862
07/2011;0.16 ;182,099,198
08/2011;0.37 ;179,285,432
09/2011;0.53 ;188,504,749
10/2011;0.43 ;188,069,133
11/2011;0.52 ;182,670,915
12/2011;0.50 ;214,235,311
01/2012;0.56 ;212,136,241
02/2012;0.45 ;191,488,769
03/2012;0.21 ;201,956,126
04/2012;0.64 ;193,183,934
05/2012;0.36 ;191,663,053
06/2012;0.08 ;198,858,463
07/2012;0.43 ;203,627,550
08/2012;0.41 ;203,575,297
09/2012;0.57 ;202,200,005
10/2012;0.59 ;204,756,960
11/2012;0.60 ;209,024,611
12/2012;0.79 ;233,371,452
01/2013;0.86 ;216,463,907
02/2013;0.60 ;205,022,593
03/2013;0.47 ;207,717,486
04/2013;0.55 ;209,621,828
05/2013;0.37 ;201,046,331
06/2013;0.26 ;214,567,507
07/2013;0.03 ;210,471,469
08/2013;0.24 ;209,608,119
09/2013;0.35 ;229,574,843
10/2013;0.57 ;211,135,082
11/2013;0.54 ;215,546,803
12/2013;0.92 ;249,509,778
01/2014;0.55 ;222,947,119
02/2014;0.69 ;224,671,134
03/2014;0.92 ;228,014,047
04/2014;0.67 ;222,462,991
05/2014;0.46 ;214,771,855
06/2014;0.40 ;222,858,595
07/2014;0.01 ;223,594,688
08/2014;0.25 ;231,344,899
09/2014;0.57 ;238,409,382
10/2014;0.42 ;231,028,326
11/2014;0.51 ;241,625,564
12/2014;0.78 ;263,528,517
01/2015;1.24 ;238,524,692
02/2015;1.22 ;238,815,587
03/2015;1.32 ;240,656,354
04/2015;0.71 ;235,020,109
05/2015;0.74 ;239,513,461
06/2015;0.79 ;231,958,724
07/2015;0.62 ;225,062,844
08/2015;0.22 ;231,716,459
09/2015;0.54 ;228,447,456
10/2015;0.82 ;239,621,335
11/2015;1.01 ;242,846,854
12/2015;0.96 ;255,288,922
01/2016;1.27 ;240,328,748
02/2016;0.90 ;252,559,892
03/2016;0.43 ;242,529,929
04/2016;0.61 ;242,142,585
05/2016;0.78 ;239,965,619
06/2016;0.35 ;234,678,114
07/2016;0.52 ;240,845,334
08/2016;0.44 ;235,768,695
09/2016;0.08 ;247,035,954
10/2016;0.26 ;247,845,546
11/2016;0.18 ;244,919,983
12/2016;0.30 ;270,287,146
01/2017;0.38 ;262,392,204
02/2017;0.33 ;266,324,996
03/2017;0.25 ;243,610,350
04/2017;0.14 ;263,654,534
05/2017;0.31 ;237,651,513
06/2017;-0.23 ;260,238,970
07/2017;0.24 ;255,860,258
08/2017;0.19 ;252,160,311
09/2017;0.16 ;262,770,311
10/2017;0.42 ;254,453,340
11/2017;0.28 ;264,219,805
12/2017;0.44 ;296,755,456
01/2018;0.29 ;272,396,111
02/2018;0.32 ;264,517,034
03/2018;0.09 ;275,056,180
04/2018;0.22 ;263,342,859
05/2018;0.40 ;269,552,906
06/2018;1.26 ;269,827,763
07/2018;0.33 ;275,338,550
08/2018;-0.09 ;277,677,286
09/2018;0.48 ;279,406,906
10/2018;0.45 ;286,975,496
11/2018;-0.21 ;279,258,830
12/2018;0.15 ;302,049,461
01/2019;0.32 ;279,105,602
02/2019;0.43 ;290,147,814
03/2019;0.75 ;286,741,568
04/2019;0.57 ;279,604,663
05/2019;0.13 ;277,875,947
06/2019;0.01 ;276,039,957
07/2019;0.19 ;271,344,687
08/2019;0.11 ;282,617,300
09/2019;-0.04 ;281,136,562
10/2019;0.10 ;292,347,495
11/2019;0.51 ;296,782,893
12/2019;1.15 ;316,586,707
01/2020;0.21 ;317,959,396
02/2020;0.25 ;303,197,485
03/2020;0.07 ;307,560,246
04/2020;-0.31 ;336,684,294
05/2020;-0.38 ;368,062,869
06/2020;0.26 ;381,679,997
